Solver,Agenti,Runtime,Throughput,Status
PBS,20,0.0022771084337349402,166,Success
ECBS,20,0.0027600000000000003,100,Success
WHCA,20,0.0,0,Timeout
LRA,20,0.0,0,Fail
PBS,50,0.0,0,Fail
ECBS,50,0.007379518072289157,166,Success
WHCA,50,0.0,0,Timeout
LRA,50,0.0,0,Fail
PBS,80,0.0,0,Fail
ECBS,80,0.0,0,Fail
WHCA,80,3.7719375000000004,48,Success
LRA,80,0.0,0,Fail
PBS,100,0.0,0,Fail
ECBS,100,0.0,0,Fail
WHCA,100,0.0,0,Timeout
LRA,100,0.0,0,Fail
PBS,120,0.0,0,Fail
ECBS,120,0.0,0,Fail
WHCA,120,8.044666666666666,15,Success
LRA,120,0.0,0,Fail
